Channel,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Taxes
Landfall Shopping Center,QT Dog,73,$328.27 ,0,$0.00 ,($8.97),$319.30 ,$22.37 
Landfall Shopping Center,Quick Tag,11,$128.89 ,0,$0.00 ,($58.95),$69.94 ,$4.90 
Landfall Shopping Center,RC Pets,9,$138.91 ,-1,($19.99),$0.00 ,$118.92 ,$8.33 
Landfall Shopping Center,Raised Right,4,$119.96 ,0,$0.00 ,($34.49),$85.47 ,$5.98 
Landfall Shopping Center,Raw Dynamic,133,"$3,736.67 ",-2,($34.98),($98.37),"$3,603.32 ",$252.28 
Landfall Shopping Center,Red Dingo,1,$14.99 ,0,$0.00 ,$0.00 ,$14.99 ,$1.05 
Landfall Shopping Center,Red Dog Bakery,121,$482.79 ,0,$0.00 ,($55.30),$427.49 ,$29.95 
Landfall Shopping Center,Rompicatz,16,$263.84 ,0,$0.00 ,($33.59),$230.25 ,$16.11 
Landfall Shopping Center,Ruff Dawg,16,$293.84 ,-2,($32.98),$6.50 ,$267.36 ,$18.73 
Landfall Shopping Center,Ruffwear,7,$319.93 ,0,$0.00 ,$0.00 ,$319.93 ,$22.40 
Landfall Shopping Center,Savage Cat,10,$250.90 ,-2,($47.98),($7.49),$195.43 ,$13.69 
Landfall Shopping Center,Service,34,$480.00 ,0,$0.00 ,($45.00),$435.00 ,$0.00 
Landfall Shopping Center,Shepherd Boy Farms,161,"$2,946.41 ",-4,($52.96),($328.78),"$2,564.67 ",$179.59 
Landfall Shopping Center,Simple Solutions,2,$45.98 ,0,$0.00 ,$0.00 ,$45.98 ,$3.22 
Landfall Shopping Center,Smack,36,"$2,876.64 ",-1,($109.99),($219.99),"$2,546.66 ",$178.29 
Landfall Shopping Center,Small Batch,185,"$7,909.16 ",-3,($117.97),($593.29),"$7,197.90 ",$503.90 
Landfall Shopping Center,Smalls,67,$660.33 ,-1,($4.99),($8.70),$646.64 ,$45.30 
Landfall Shopping Center,Smart Cookie,33,$434.67 ,-1,($14.99),($15.48),$404.20 ,$28.31 
Landfall Shopping Center,Snook's,93,$203.07 ,0,$0.00 ,($2.38),$200.69 ,$14.06 
Landfall Shopping Center,Snuggle Puppy,1,$49.99 ,0,$0.00 ,$0.00 ,$49.99 ,$3.50 
Landfall Shopping Center,Solutions,11,$516.89 ,-1,($65.99),($23.29),$427.61 ,$29.93 
Landfall Shopping Center,Southeast Pet,2,$120.98 ,-4,($252.96),$13.00 ,($118.98),($8.34)
Landfall Shopping Center,Springland Pets,2,$55.98 ,0,$0.00 ,$0.00 ,$55.98 ,$3.92 
Landfall Shopping Center,SquarePet,29,$330.71 ,0,$0.00 ,($42.18),$288.53 ,$20.20 
Landfall Shopping Center,Stella & Chewy's,81,"$3,573.19 ",-1,($34.99),($355.95),"$3,182.25 ",$222.80 
Landfall Shopping Center,Steve's,113,"$6,872.87 ",-2,($73.98),($370.21),"$6,428.68 ",$450.08 
Landfall Shopping Center,Sustainably Yours,3,$140.97 ,0,$0.00 ,$0.00 ,$140.97 ,$9.87 
Landfall Shopping Center,Sustenance Herbs,11,$270.89 ,0,$0.00 ,($24.99),$245.90 ,$17.21 
Landfall Shopping Center,Swelll,19,$132.81 ,0,$0.00 ,$0.00 ,$132.81 ,$9.31 
Landfall Shopping Center,Taste of the Wild,113,"$2,484.87 ",0,$0.00 ,($90.83),"$2,394.04 ",$167.61 
Landfall Shopping Center,The Avalon Society,1,$29.99 ,0,$0.00 ,$0.00 ,$29.99 ,$2.10 
Landfall Shopping Center,The Honest Kitchen,16,$830.84 ,0,$0.00 ,($60.19),$770.65 ,$53.96 
Landfall Shopping Center,The Lazy Dog Cookie Co,3,$23.97 ,0,$0.00 ,$0.00 ,$23.97 ,$1.68 
Landfall Shopping Center,The Rabbit Tap,79,$311.21 ,-3,($6.97),($2.40),$301.84 ,$21.14 
Landfall Shopping Center,Thunderworks,4,$106.96 ,0,$0.00 ,$0.00 ,$106.96 ,$7.49 
Landfall Shopping Center,Toys,57,$285.00 ,0,$0.00 ,($15.50),$269.50 ,$18.86 
Landfall Shopping Center,Tropiclean,3,$20.97 ,0,$0.00 ,$0.00 ,$20.97 ,$1.47 
Landfall Shopping Center,TrueBlue Pets,14,$219.86 ,0,$0.00 ,($14.20),$205.66 ,$14.40 
Landfall Shopping Center,Tuckers,3,$47.97 ,0,$0.00 ,$0.00 ,$47.97 ,$3.36 
Landfall Shopping Center,Tuesday's Natural Dog Co,371,"$3,886.29 ",-3,($32.97),($252.38),"$3,600.94 ",$252.24 
Landfall Shopping Center,Ultra Oil,7,$228.93 ,0,$0.00 ,($39.99),$188.94 ,$13.23 
Landfall Shopping Center,Uncategorized,5,$289.99 ,0,$0.00 ,$0.00 ,$289.99 ,$4.90 
Landfall Shopping Center,Unique,1,$17.99 ,0,$0.00 ,$0.00 ,$17.99 ,$1.26 
Landfall Shopping Center,VIP,13,$211.87 ,0,$0.00 ,$0.00 ,$211.87 ,$14.84 
Landfall Shopping Center,Vee Enterprises,6,$17.94 ,0,$0.00 ,$0.00 ,$17.94 ,$1.26 
Landfall Shopping Center,Vet's Best,3,$29.97 ,0,$0.00 ,$0.00 ,$29.97 ,$2.10 
Landfall Shopping Center,Victor,57,"$2,680.43 ",-1,($15.99),($237.95),"$2,426.49 ",$169.89 
Landfall Shopping Center,Vital Essentials,163,"$3,125.87 ",-3,($50.97),($328.11),"$2,746.79 ",$192.33 
Landfall Shopping Center,Wag & Brite,21,$316.79 ,0,$0.00 ,$0.00 ,$316.79 ,$22.18 
Landfall Shopping Center,Wee-Wee,1,$15.99 ,0,$0.00 ,$0.00 ,$15.99 ,$1.12 
Landfall Shopping Center,Weruva,578,"$1,938.22 ",-2,($5.68),($24.23),"$1,908.31 ",$133.62 
Landfall Shopping Center,West Paw,20,$383.80 ,0,$0.00 ,($9.40),$374.40 ,$26.22 
Landfall Shopping Center,Wholistic Pet Organics,8,$292.92 ,0,$0.00 ,($13.99),$278.93 ,$19.53 
Landfall Shopping Center,Wicks For Wags,10,$165.90 ,0,$0.00 ,($7.50),$158.40 ,$11.08 
Landfall Shopping Center,Wild Meadow Farms,29,$365.71 ,0,$0.00 ,($6.90),$358.81 ,$25.12 
Landfall Shopping Center,Winnie Lou,69,$884.31 ,0,$0.00 ,($33.57),$850.74 ,$59.59 
Landfall Shopping Center,Woof,26,$449.74 ,-2,($29.98),$0.00 ,$419.76 ,$29.40 
Landfall Shopping Center,Yeowww,22,$232.78 ,0,$0.00 ,($10.99),$221.79 ,$15.53 
Landfall Shopping Center,Yeti,8,$104.92 ,0,$0.00 ,$0.00 ,$104.92 ,$7.35 
Landfall Shopping Center,Zenta,136,$202.64 ,0,$0.00 ,($1.55),$201.09 ,$13.98 
Landfall Shopping Center,Zippy Paws,15,$239.85 ,0,$0.00 ,($17.59),$222.26 ,$15.56 
Crescent Commons,Uncategorized,1,$109.99 ,-1,($50.99),$0.00 ,$59.00 ,$4.27 
Crescent Commons,2 hounds,5,$216.95 ,-2,($85.98),$0.00 ,$130.97 ,$9.49 
Crescent Commons,A Pup Above,84,"$3,311.16 ",-2,($264.98),($227.37),"$2,818.81 ",$204.31 
Crescent Commons,Accessories,1,$0.99 ,0,$0.00 ,$0.00 ,$0.99 ,$0.07 
Crescent Commons,Adored Beast,22,$876.78 ,0,$0.00 ,($16.40),$860.38 ,$62.37 
Crescent Commons,Answers,9,$142.41 ,0,$0.00 ,($1.50),$140.91 ,$10.21 
Crescent Commons,Ark Naturals,14,$297.86 ,0,$0.00 ,($16.00),$281.86 ,$20.43 
Crescent Commons,Aroma Paws,30,$449.70 ,0,$0.00 ,($14.99),$434.71 ,$31.58 
Crescent Commons,Austin & Kat,34,"$1,302.66 ",0,$0.00 ,($150.77),"$1,151.89 ",$83.46 
Crescent Commons,Barker's Bowtique,15,$187.85 ,-1,($43.99),$0.00 ,$143.86 ,$10.40 
Crescent Commons,Baydog,2,$96.98 ,-1,($21.99),$0.00 ,$74.99 ,$5.43 
Crescent Commons,Baylee Nasco,4,$369.96 ,0,$0.00 ,$0.00 ,$369.96 ,$26.82 
Crescent Commons,Beg & Barker,1,$10.49 ,0,$0.00 ,$0.00 ,$10.49 ,$0.76 
Crescent Commons,Big Spoon Roasters,2,$25.98 ,0,$0.00 ,$0.00 ,$25.98 ,$1.88 
Crescent Commons,Bocce's Bakery,57,$501.43 ,0,$0.00 ,($33.99),$467.44 ,$33.92 
Crescent Commons,Body Parts,1474,"$5,212.36 ",-5,($19.95),($117.58),"$5,074.83 ",$367.92 
Crescent Commons,Bones & Co,175,"$4,369.25 ",-2,($39.98),($771.15),"$3,558.12 ",$258.00 
Crescent Commons,BoxieCat,7,$256.93 ,0,$0.00 ,($11.39),$245.54 ,$17.79 
Crescent Commons,Bradley Caldwell,84,$329.16 ,0,$0.00 ,($1.49),$327.67 ,$23.82 
Crescent Commons,Brilliant Salmon Oil,3,$82.97 ,0,$0.00 ,($3.79),$79.18 ,$5.74 
Crescent Commons,Bubba Rose,6,$66.72 ,0,$0.00 ,$0.00 ,$66.72 ,$4.83 
Crescent Commons,Buddy Bags,1,$16.99 ,0,$0.00 ,$0.00 ,$16.99 ,$1.23 
Crescent Commons,Butcher's Block,57,"$1,436.43 ",0,$0.00 ,($60.99),"$1,375.44 ",$99.78 
Crescent Commons,Calm Paws,1,$16.99 ,0,$0.00 ,$0.00 ,$16.99 ,$1.23 
Crescent Commons,Canada Pooch,2,$77.98 ,0,$0.00 ,$0.00 ,$77.98 ,$5.65 
Crescent Commons,Canidae,17,$819.83 ,0,$0.00 ,($40.00),$779.83 ,$56.51 
Crescent Commons,Canine Caviar,25,"$1,436.56 ",-1,($9.99),($172.47),"$1,254.10 ",$90.94 
Crescent Commons,Canophera,27,$457.73 ,0,$0.00 ,($5.60),$452.13 ,$32.78 
Crescent Commons,Carna4,43,"$2,527.57 ",-1,($25.99),($107.97),"$2,393.61 ",$173.52 
Crescent Commons,Cat,25,$24.75 ,0,$0.00 ,($0.99),$23.76 ,$1.70 
Crescent Commons,Chasing Our Tails,1,$9.99 ,0,$0.00 ,$0.00 ,$9.99 ,$0.73 
Crescent Commons,Chilly Dog,16,$92.84 ,0,$0.00 ,($5.98),$86.86 ,$6.32 
Crescent Commons,Coastal,13,$214.37 ,-1,($27.99),($2.49),$183.89 ,$13.33 
Crescent Commons,Coco Therapy,1,$14.99 ,0,$0.00 ,($1.50),$13.49 ,$0.98 
Crescent Commons,Colorado Pet Treats,35,$503.65 ,0,$0.00 ,($13.69),$489.96 ,$35.52 
Crescent Commons,Core,6,$140.94 ,0,$0.00 ,$0.00 ,$140.94 ,$10.22 
Crescent Commons,Cost Less Distributing,3,$29.97 ,0,$0.00 ,($3.00),$26.97 ,$1.95 
Crescent Commons,Crochet Kitty,3,$51.97 ,0,$0.00 ,$0.00 ,$51.97 ,$3.77 
Crescent Commons,Crump's Naturals,97,"$1,257.03 ",-2,($27.98),($15.60),"$1,213.45 ",$88.02 
Crescent Commons,DG Cedar Oil,1,$34.99 ,0,$0.00 ,$0.00 ,$34.99 ,$2.54 
Crescent Commons,Dexypaws,15,$275.85 ,0,$0.00 ,($11.49),$264.36 ,$19.16 
Crescent Commons,Dezi & Roo,12,$82.88 ,0,$0.00 ,$0.00 ,$82.88 ,$6.00 
Crescent Commons,Dog Treats,5,$134.95 ,0,$0.00 ,$0.00 ,$134.95 ,$9.78 
Crescent Commons,Dog Wash,14,$280.00 ,0,$0.00 ,($40.00),$240.00 ,$0.00 
Crescent Commons,Dogline,1,$39.99 ,-1,($39.99),$0.00 ,$0.00 ,$0.00 
Crescent Commons,Dr. Elsey's,9,$138.91 ,0,$0.00 ,($3.00),$135.91 ,$9.86 
Crescent Commons,Earth Animal,2,$29.98 ,0,$0.00 ,$0.00 ,$29.98 ,$2.18 
Crescent Commons,Earth Rated,57,$480.43 ,0,$0.00 ,($10.70),$469.73 ,$34.13 
Crescent Commons,Earthborn,57,"$2,096.43 ",0,$0.00 ,($47.07),"$2,049.36 ",$148.49 
Crescent Commons,Ecos,1,$22.99 ,0,$0.00 ,$0.00 ,$22.99 ,$1.67 
Crescent Commons,Ethical Cat,10,$59.90 ,0,$0.00 ,$0.00 ,$59.90 ,$4.33 
Crescent Commons,Evanger'S,543,"$1,499.72 ",-14,($33.76),($24.33),"$1,441.63 ",$104.55 
Crescent Commons,Ezydog,7,$229.93 ,-1,($19.99),$0.00 ,$209.94 ,$15.22 
Crescent Commons,Farmina Pet Foods,26,$276.54 ,0,$0.00 ,($138.28),$138.26 ,$10.02 
Crescent Commons,Flexi,2,$57.98 ,0,$0.00 ,$0.00 ,$57.98 ,$4.21 
Crescent Commons,Fluff & Tuff,100,"$1,798.00 ",0,$0.00 ,($43.11),"$1,754.89 ",$127.20 
Crescent Commons,From The Field,49,$168.01 ,0,$0.00 ,($1.05),$166.96 ,$12.13 
Crescent Commons,Fromm,159,"$2,769.41 ",0,$0.00 ,($157.69),"$2,611.72 ",$189.28 
Crescent Commons,Front Porch Pets,13,$248.87 ,0,$0.00 ,$0.00 ,$248.87 ,$18.02 
Crescent Commons,Fruitables,59,$545.41 ,0,$0.00 ,$0.00 ,$545.41 ,$39.58 
Crescent Commons,Giftable World,18,$264.82 ,0,$0.00 ,$0.00 ,$264.82 ,$19.21 
Crescent Commons,Glacier Peak Holistics,4,$374.96 ,0,$0.00 ,$0.00 ,$374.96 ,$27.18 
Crescent Commons,Go Cat Feathers,30,$294.70 ,0,$0.00 ,$0.00 ,$294.70 ,$21.37 
Crescent Commons,Goli Design,6,$61.94 ,0,$0.00 ,$0.00 ,$61.94 ,$4.51 
Crescent Commons,Grandma Lynch,7,$69.93 ,0,$0.00 ,$0.00 ,$69.93 ,$5.06 
Crescent Commons,Green Element,7,$272.93 ,-1,($49.99),($10.85),$212.09 ,$15.38 
Crescent Commons,Green Juju,58,"$1,568.42 ",0,$0.00 ,($205.17),"$1,363.25 ",$98.85 
Crescent Commons,Green Pet,2,$89.98 ,0,$0.00 ,$0.00 ,$89.98 ,$6.52 
Crescent Commons,Growl,1,$15.99 ,0,$0.00 ,$0.00 ,$15.99 ,$1.16 
Crescent Commons,Happy Howie's,273,$631.87 ,0,$0.00 ,($72.42),$559.45 ,$40.53 
Crescent Commons,Home Range,25,$189.75 ,0,$0.00 ,$0.00 ,$189.75 ,$13.76 
Crescent Commons,Homeopet,5,$79.95 ,0,$0.00 ,($25.93),$54.02 ,$3.92 
Crescent Commons,Hugglehounds,22,$351.78 ,-1,($24.99),$0.00 ,$326.79 ,$23.68 
Crescent Commons,Huxley & Kent,10,$141.90 ,-2,($35.98),($5.00),$100.92 ,$7.33 
Crescent Commons,Icelandic+,15,$91.85 ,0,$0.00 ,$0.00 ,$91.85 ,$6.66 
Crescent Commons,Imagine That Design,2,$73.98 ,0,$0.00 ,$0.00 ,$73.98 ,$5.36 
Crescent Commons,Inaba,59,$297.91 ,0,$0.00 ,($16.51),$281.40 ,$20.42 
Crescent Commons,Inclover,33,"$1,184.67 ",0,$0.00 ,($79.00),"$1,105.67 ",$80.20 
Crescent Commons,India Collars,1,$34.99 ,0,$0.00 ,$0.00 ,$34.99 ,$2.54 
Crescent Commons,Injoya,1,$7.99 ,0,$0.00 ,$0.00 ,$7.99 ,$0.58 
Crescent Commons,Innovative Pet Lab,1,$149.00 ,-1,($149.00),$0.00 ,$0.00 ,$0.00 
Crescent Commons,Instinct,2,$169.98 ,0,$0.00 ,$0.00 ,$169.98 ,$12.32 
Crescent Commons,Ithaca Acres,4,$43.96 ,0,$0.00 ,($14.29),$29.67 ,$2.16 
Crescent Commons,Jolly,1,$18.99 ,0,$0.00 ,$0.00 ,$18.99 ,$1.38 
Crescent Commons,K9 Granola Factory,65,$581.74 ,0,$0.00 ,($7.10),$574.64 ,$41.63 
Crescent Commons,KOHA,184,$586.96 ,-2,($9.98),($67.41),$509.57 ,$36.92 
Crescent Commons,Kennel Master,13,$333.87 ,0,$0.00 ,$0.00 ,$333.87 ,$24.20 
Crescent Commons,Kitty Boinks,10,$13.40 ,0,$0.00 ,$0.00 ,$13.40 ,$0.96 
Crescent Commons,Kong,64,$726.36 ,-1,($14.99),($11.32),$700.05 ,$50.76 
Crescent Commons,Lambwolf,4,$64.96 ,0,$0.00 ,$0.00 ,$64.96 ,$4.71 
Crescent Commons,Lightning Dog,4,$55.96 ,0,$0.00 ,$0.00 ,$55.96 ,$4.05 
Crescent Commons,Lord Jameison,3,$44.97 ,0,$0.00 ,$0.00 ,$44.97 ,$3.27 
Crescent Commons,Lotus,93,$314.57 ,0,$0.00 ,($72.56),$242.01 ,$17.58 
Crescent Commons,Lupine,75,"$1,327.25 ",-5,($50.95),($12.72),"$1,263.58 ",$91.60 
Crescent Commons,MYOS,7,$299.93 ,0,$0.00 ,($49.99),$249.94 ,$18.12 
Crescent Commons,Magic Carpet,2,$109.98 ,0,$0.00 ,$0.00 ,$109.98 ,$7.98 
Crescent Commons,Magic Cat Co,3,$14.97 ,0,$0.00 ,$0.00 ,$14.97 ,$1.09 
Crescent Commons,Messy Mutts,23,$450.77 ,-1,($5.99),$0.00 ,$444.78 ,$32.22 
Crescent Commons,Midwest,3,$57.97 ,-1,($7.99),($12.50),$37.48 ,$2.72 
Crescent Commons,Moderna,6,$36.94 ,0,$0.00 ,$0.00 ,$36.94 ,$2.67 
Crescent Commons,Molly Mutt,1,$21.99 ,0,$0.00 ,$0.00 ,$21.99 ,$1.59 
Crescent Commons,Mountain Dog,18,$497.82 ,-2,($41.98),$0.00 ,$455.84 ,$33.03 
Crescent Commons,Multipet,37,$462.63 ,0,$0.00 ,($2.67),$459.96 ,$33.33 
Crescent Commons,My Perfect Pet,15,$632.85 ,0,$0.00 ,($73.98),$558.87 ,$40.52 
Crescent Commons,Natural Immunogenics,4,$113.96 ,0,$0.00 ,($1.27),$112.69 ,$8.18 
Crescent Commons,Nature Cide,9,$77.91 ,0,$0.00 ,($2.70),$75.21 ,$5.45 
Crescent Commons,Nature Valley,5,$376.95 ,0,$0.00 ,($130.93),$246.02 ,$17.83 
Crescent Commons,Natures Logic,411,"$9,953.90 ",-4,($295.96),($417.91),"$9,240.03 ",$669.93 
Crescent Commons,Necoichi,5,$147.45 ,0,$0.00 ,$0.00 ,$147.45 ,$10.69 
Crescent Commons,New Zealand Naturals,29,$756.71 ,0,$0.00 ,($210.71),$546.00 ,$39.57 
Crescent Commons,Nexderma,4,$119.96 ,0,$0.00 ,($45.49),$74.47 ,$5.41 
Crescent Commons,Nite Ize,2,$18.98 ,0,$0.00 ,$0.00 ,$18.98 ,$1.38 
Crescent Commons,Nocciola,12,$223.88 ,0,$0.00 ,($14.01),$209.87 ,$15.19 
Crescent Commons,Nordic Naturals,5,$153.95 ,0,$0.00 ,$0.00 ,$153.95 ,$11.16 
Crescent Commons,Nugget's,1,$12.99 ,0,$0.00 ,$0.00 ,$12.99 ,$0.94 
Crescent Commons,OC Raw,188,"$9,182.12 ",-3,($278.47),($892.02),"$8,011.63 ",$580.90 
Crescent Commons,Open Farm,462,"$14,528.30 ",-4,($262.96),"($1,330.15)","$12,935.19 ",$937.60 
Crescent Commons,Outward Hound,34,$533.66 ,-1,($12.99),($26.99),$493.68 ,$35.80 
Crescent Commons,Pet Adventures Worldwide,12,$179.88 ,-1,($12.99),$0.00 ,$166.89 ,$12.09 
Crescent Commons,Pet Pallet,1,$7.99 ,0,$0.00 ,$0.00 ,$7.99 ,$0.58 
Crescent Commons,Pet Releaf,27,"$1,090.73 ",0,$0.00 ,($291.18),$799.55 ,$57.95 
Crescent Commons,Petmate,49,$489.51 ,0,$0.00 ,($23.46),$466.05 ,$33.78 
Crescent Commons,Petsafe,25,$451.67 ,0,$0.00 ,($31.45),$420.22 ,$30.44 
Crescent Commons,Petsport,6,$95.94 ,0,$0.00 ,$0.00 ,$95.94 ,$6.95 
Crescent Commons,Pill Buddies,8,$111.92 ,0,$0.00 ,$0.00 ,$111.92 ,$8.11 
Crescent Commons,Playology,15,$213.85 ,-1,($12.99),($8.49),$192.37 ,$13.94 
Crescent Commons,Plush,18,$504.82 ,-5,($143.95),$0.00 ,$360.87 ,$26.13 
Crescent Commons,Polka Dog,70,$533.30 ,0,$0.00 ,($32.69),$500.61 ,$36.29 
Crescent Commons,Poochpad,1,$19.99 ,0,$0.00 ,$0.00 ,$19.99 ,$1.45 
Crescent Commons,Portland Pet Foods,80,$502.20 ,0,$0.00 ,($108.84),$393.36 ,$28.53 
Crescent Commons,Presido,1,$8.99 ,0,$0.00 ,$0.00 ,$8.99 ,$0.65 
Crescent Commons,Primal,25,$865.75 ,0,$0.00 ,($83.67),$782.08 ,$56.73 
Crescent Commons,Proden,5,$99.95 ,0,$0.00 ,$0.00 ,$99.95 ,$7.25 
Crescent Commons,Puppy Cake,4,$46.96 ,0,$0.00 ,$0.00 ,$46.96 ,$3.41 
Crescent Commons,Pure & Natural Pet,4,$27.96 ,0,$0.00 ,$0.00 ,$27.96 ,$2.02 
Crescent Commons,QT Dog,77,$436.23 ,-1,($5.99),($5.30),$424.94 ,$30.81 
Crescent Commons,Quick Tag,16,$197.84 ,0,$0.00 ,($49.65),$148.19 ,$10.78 
Crescent Commons,RC Pets,10,$192.90 ,0,$0.00 ,($10.00),$182.90 ,$13.25 
Crescent Commons,Raised Right,19,$353.81 ,0,$0.00 ,$0.00 ,$353.81 ,$25.67 
Crescent Commons,Raw Dynamic,76,"$2,449.24 ",-1,($17.99),($204.87),"$2,226.38 ",$161.44 
Crescent Commons,Red Dingo,2,$29.98 ,0,$0.00 ,$0.00 ,$29.98 ,$2.18 
Crescent Commons,Red Dog Bakery,101,$402.99 ,0,$0.00 ,($28.36),$374.63 ,$27.15 
Crescent Commons,Rompicatz,8,$159.92 ,0,$0.00 ,$0.00 ,$159.92 ,$11.61 
Crescent Commons,Ruff Dawg,11,$267.89 ,0,$0.00 ,$0.00 ,$267.89 ,$19.41 
Crescent Commons,Ruffwear,17,$624.83 ,-6,($249.94),$0.00 ,$374.89 ,$27.19 
Crescent Commons,Savage Cat,6,$176.94 ,0,$0.00 ,($3.30),$173.64 ,$12.60 
Crescent Commons,Service,76,"$1,130.00 ",0,$0.00 ,($106.75),"$1,023.25 ",$0.00 
Crescent Commons,Shepherd Boy Farms,175,"$3,549.25 ",-1,($22.99),($402.75),"$3,123.51 ",$226.47 
Crescent Commons,Smack,21,$948.79 ,-1,($22.99),($165.83),$759.97 ,$55.10 
Crescent Commons,Small Batch,266,"$9,083.84 ",-3,($100.97),($939.93),"$8,042.94 ",$583.05 
Crescent Commons,Smalls,99,"$1,178.01 ",-1,($4.99),($40.47),"$1,132.55 ",$82.07 
Crescent Commons,Smart Cookie,42,$533.58 ,0,$0.00 ,($41.77),$491.81 ,$35.67 
Crescent Commons,Snook's,43,$93.97 ,0,$0.00 ,$0.00 ,$93.97 ,$6.80 
Crescent Commons,Snuggle Puppy,1,$49.99 ,0,$0.00 ,$0.00 ,$49.99 ,$3.62 
Crescent Commons,Solutions,10,"$1,086.90 ",0,$0.00 ,$0.00 ,"$1,086.90 ",$78.80 
Crescent Commons,Southeast Pet,3,$189.97 ,-4,($29.96),$0.00 ,$160.01 ,$11.60 
Crescent Commons,Springland Pets,1,$27.99 ,0,$0.00 ,$0.00 ,$27.99 ,$2.03 
Crescent Commons,SquarePet,6,$145.94 ,0,$0.00 ,$0.00 ,$145.94 ,$10.57 
Crescent Commons,Stella & Chewy's,20,$807.80 ,0,$0.00 ,($216.70),$591.10 ,$42.85 
Crescent Commons,Steve's,55,"$2,249.45 ",-1,($41.99),($293.06),"$1,914.40 ",$138.75 
Crescent Commons,Sustainably Yours,21,$788.79 ,0,$0.00 ,($173.02),$615.77 ,$44.65 
Crescent Commons,Sustenance Herbs,2,$35.98 ,0,$0.00 ,($0.95),$35.03 ,$2.55 
Crescent Commons,Swelll,22,$153.78 ,0,$0.00 ,$0.00 ,$153.78 ,$11.19 
Crescent Commons,Taste of the Wild,24,"$1,157.76 ",0,$0.00 ,($97.98),"$1,059.78 ",$76.88 
Crescent Commons,The Avalon Society,5,$149.95 ,0,$0.00 ,($15.00),$134.95 ,$9.79 
Crescent Commons,The Honest Kitchen,12,"$1,289.88 ",0,$0.00 ,($162.90),"$1,126.98 ",$81.71 
Crescent Commons,The Lazy Dog Cookie Co,4,$31.96 ,0,$0.00 ,$0.00 ,$31.96 ,$2.32 
Crescent Commons,The Rabbit Tap,86,$311.14 ,0,$0.00 ,($0.89),$310.25 ,$22.46 
Crescent Commons,Thunderworks,11,$281.89 ,0,$0.00 ,$0.00 ,$281.89 ,$20.43 
Crescent Commons,Toys,37,$180.00 ,0,$0.00 ,($22.66),$157.34 ,$11.33 
Crescent Commons,Travel Cat,1,$159.99 ,0,$0.00 ,$0.00 ,$159.99 ,$11.60 
Crescent Commons,Tropiclean,4,$27.96 ,0,$0.00 ,$0.00 ,$27.96 ,$2.04 
Crescent Commons,TrueBlue Pets,14,$222.86 ,0,$0.00 ,($27.19),$195.67 ,$14.18 
Crescent Commons,Tuckers,17,$295.83 ,0,$0.00 ,($10.00),$285.83 ,$20.73 
Crescent Commons,Tuesday's Natural Dog Co,248,"$2,336.52 ",-2,($21.98),($46.16),"$2,268.38 ",$164.42 
Crescent Commons,Tulum Handmade,4,$116.96 ,0,$0.00 ,$0.00 ,$116.96 ,$8.47 
Crescent Commons,Ultra Oil,8,$238.92 ,0,$0.00 ,($72.47),$166.45 ,$12.07 
Crescent Commons,Unique,2,$35.98 ,0,$0.00 ,($5.40),$30.58 ,$2.21 
Crescent Commons,Up Country,3,$77.97 ,0,$0.00 ,$0.00 ,$77.97 ,$5.65 
Crescent Commons,VIP,12,$284.88 ,0,$0.00 ,($4.20),$280.68 ,$20.34 
Crescent Commons,Vee Enterprises,13,$103.37 ,0,$0.00 ,($3.25),$100.12 ,$7.26 
Crescent Commons,Vet's Best,3,$29.97 ,0,$0.00 ,$0.00 ,$29.97 ,$2.16 
Crescent Commons,Victor,65,"$3,027.35 ",0,$0.00 ,($157.97),"$2,869.38 ",$207.98 
Crescent Commons,Vital Essentials,141,"$2,630.39 ",0,$0.00 ,($150.43),"$2,479.96 ",$179.87 
Crescent Commons,Wag & Brite,23,$358.77 ,-2,($33.98),($2.55),$322.24 ,$23.34 
Crescent Commons,Wee-Wee,1,$13.99 ,0,$0.00 ,$0.00 ,$13.99 ,$1.02 
Crescent Commons,Weruva,456,"$1,430.24 ",0,$0.00 ,($54.25),"$1,375.99 ",$99.73 
Crescent Commons,West Paw,33,$576.67 ,0,$0.00 ,($16.48),$560.19 ,$40.57 
Crescent Commons,Wholistic Pet Organics,6,$223.94 ,0,$0.00 ,$0.00 ,$223.94 ,$16.26 
Crescent Commons,Wicks For Wags,9,$146.91 ,0,$0.00 ,($9.50),$137.41 ,$9.99 
Crescent Commons,Wild Meadow Farms,44,$596.56 ,0,$0.00 ,($48.17),$548.39 ,$39.73 
Crescent Commons,Winnie Lou,48,$606.52 ,0,$0.00 ,($2.40),$604.12 ,$43.80 
Crescent Commons,Woof,50,$761.50 ,0,$0.00 ,($1.80),$759.70 ,$55.07 
Crescent Commons,Yeowww,25,$231.75 ,0,$0.00 ,($27.48),$204.27 ,$14.80 
Crescent Commons,Yeti,14,$182.86 ,0,$0.00 ,$0.00 ,$182.86 ,$13.24 
Crescent Commons,Zenta,72,$107.28 ,0,$0.00 ,($1.88),$105.40 ,$7.66 
Crescent Commons,Zippy Paws,18,$289.82 ,0,$0.00 ,($18.63),$271.19 ,$19.67 
Wix,Uncategorized,15,$844.46 ,0,$0.00 ,$0.00 ,$844.46 ,$0.00 
